context,id,flag,test,text
cbc:EndpointID[@schemeID = '0088'] | cac:PartyIdentification/cbc:ID[@schemeID = '0088'] | cbc:CompanyID[@schemeID = '0088'],PEPPOL-COMMON-R040,fatal,"matches(normalize-space(), '^[0-9]+$') and u:gln(normalize-space())",GLN must have a valid format according to GS1 rules.
cbc:EndpointID[@schemeID = '0192'] | cac:PartyIdentification/cbc:ID[@schemeID = '0192'] | cbc:CompanyID[@schemeID = '0192'],PEPPOL-COMMON-R041,fatal,"matches(normalize-space(), '^[0-9]{9}$') and u:mod11(normalize-space())",Norwegian organization number MUST be stated in the correct format.
cbc:EndpointID[@schemeID = '0184'] | cac:PartyIdentification/cbc:ID[@schemeID = '0184'] | cbc:CompanyID[@schemeID = '0184'],PEPPOL-COMMON-R042,fatal,"(string-length(text()) = 10) and (substring(text(), 1, 2) = 'DK') and (string-length(translate(substring(text(), 3, 8), '1234567890', '')) = 0)",Danish organization number (CVR) MUST be stated in the correct format.
cbc:EmbeddedDocumentBinaryObject[@mimeCode],PEPPOL-EN16931-CL001,fatal, some $code in $MIMECODE satisfies @mimeCode = $code,Mime code must be according to subset of IANA code list.
cac:AllowanceCharge[cbc:ChargeIndicator = 'false']/cbc:AllowanceChargeReasonCode,PEPPOL-EN16931-CL002,fatal, some $code in $UNCL5189 satisfies normalize-space(text()) = $code,Reason code MUST be according to subset of UNCL 5189 D.16B.
cac:AllowanceCharge[cbc:ChargeIndicator = 'true']/cbc:AllowanceChargeReasonCode,PEPPOL-EN16931-CL003,fatal, some $code in $UNCL7161 satisfies normalize-space(text()) = $code,Reason code MUST be according to UNCL 7161 D.16B.
cac:InvoicePeriod/cbc:DescriptionCode,PEPPOL-EN16931-CL006,fatal, some $code in $UNCL2005 satisfies normalize-space(text()) = $code,Invoice period description code must be according to UNCL 2005 D.16B.
cbc:Amount | cbc:BaseAmount | cbc:PriceAmount | cbc:TaxAmount | cbc:TaxableAmount | cbc:LineExtensionAmount | cbc:TaxExclusiveAmount | cbc:TaxInclusiveAmount | cbc:AllowanceTotalAmount | cbc:ChargeTotalAmount | cbc:PrepaidAmount | cbc:PayableRoundingAmount | cbc:PayableAmount,PEPPOL-EN16931-CL007,fatal, some $code in $ISO4217 satisfies @currencyID = $code,Currency code must be according to ISO 4217:2005
cbc:EndpointID[@schemeID],PEPPOL-EN16931-CL008,fatal, some $code in $eaid satisfies @schemeID = $code,"Electronic address identifier scheme must be from the codelist ""Electronic Address Identifier Scheme"""
cbc:IssueDate | cbc:DueDate | cbc:TaxPointDate | cbc:StartDate | cbc:EndDate | cbc:ActualDeliveryDate,PEPPOL-EN16931-F001,fatal,string-length(text()) = 10 and (string(.) castable as xs:date),A date MUST be formatted YYYY-MM-DD.
cbc:InvoiceTypeCode,PEPPOL-EN16931-P0100,fatal," $profile != '01' or (some $code in tokenize('380 383 386 393 82 80 84 395 575 623 780', '\s') satisfies normalize-space(text()) = $code)",Invoice type code MUST be set according to the profile.
cbc:CreditNoteTypeCode,PEPPOL-EN16931-P0101,fatal," $profile != '01' or (some $code in tokenize('381 396 81 83 532', '\s') satisfies normalize-space(text()) = $code)",Credit note type code MUST be set according to the profile.
cac:TaxCategory[upper-case(cbc:TaxExemptionReasonCode)='VATEX-EU-G'],PEPPOL-EN16931-P0104,fatal,normalize-space(cbc:ID)='G',Tax Category G MUST be used when exemption reason code is VATEX-EU-G
cac:TaxCategory[upper-case(cbc:TaxExemptionReasonCode)='VATEX-EU-O'],PEPPOL-EN16931-P0105,fatal,normalize-space(cbc:ID)='O',Tax Category O MUST be used when exemption reason code is VATEX-EU-O
cac:TaxCategory[upper-case(cbc:TaxExemptionReasonCode)='VATEX-EU-IC'],PEPPOL-EN16931-P0106,fatal,normalize-space(cbc:ID)='K',Tax Category K MUST be used when exemption reason code is VATEX-EU-IC
cac:TaxCategory[upper-case(cbc:TaxExemptionReasonCode)='VATEX-EU-AE'],PEPPOL-EN16931-P0107,fatal,normalize-space(cbc:ID)='AE',Tax Category AE MUST be used when exemption reason code is VATEX-EU-AE
cac:TaxCategory[upper-case(cbc:TaxExemptionReasonCode)='VATEX-EU-D'],PEPPOL-EN16931-P0108,fatal,normalize-space(cbc:ID)='E',Tax Category E MUST be used when exemption reason code is VATEX-EU-D
cac:TaxCategory[upper-case(cbc:TaxExemptionReasonCode)='VATEX-EU-F'],PEPPOL-EN16931-P0109,fatal,normalize-space(cbc:ID)='E',Tax Category E MUST be used when exemption reason code is VATEX-EU-F
cac:TaxCategory[upper-case(cbc:TaxExemptionReasonCode)='VATEX-EU-I'],PEPPOL-EN16931-P0110,fatal,normalize-space(cbc:ID)='E',Tax Category E MUST be used when exemption reason code is VATEX-EU-I
cac:TaxCategory[upper-case(cbc:TaxExemptionReasonCode)='VATEX-EU-J'],PEPPOL-EN16931-P0111,fatal,normalize-space(cbc:ID)='E',Tax Category E MUST be used when exemption reason code is VATEX-EU-J
ubl-creditnote:CreditNote | ubl-invoice:Invoice,PEPPOL-EN16931-R001,fatal,cbc:ProfileID,Business process MUST be provided.
ubl-creditnote:CreditNote | ubl-invoice:Invoice,PEPPOL-EN16931-R002,fatal,count(cbc:Note) <= 1,No more than one note is allowed on document level.
ubl-creditnote:CreditNote | ubl-invoice:Invoice,PEPPOL-EN16931-R003,fatal,cbc:BuyerReference or cac:OrderReference/cbc:ID,A buyer reference or purchase order reference MUST be provided.
ubl-creditnote:CreditNote | ubl-invoice:Invoice,PEPPOL-EN16931-R004,fatal,"starts-with(normalize-space(cbc:CustomizationID/text()), 'urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0')",Specification identifier MUST have the value 'urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0'.
cbc:TaxCurrencyCode,PEPPOL-EN16931-R005,fatal,not(normalize-space(text()) = normalize-space(../cbc:DocumentCurrencyCode/text())),VAT accounting currency code MUST be different from invoice currency code when provided.
ubl-creditnote:CreditNote | ubl-invoice:Invoice,PEPPOL-EN16931-R006,fatal,(count(cac:AdditionalDocumentReference[cbc:DocumentTypeCode='130']) <= 1),Only one invoiced object is allowed on document level
ubl-creditnote:CreditNote | ubl-invoice:Invoice,PEPPOL-EN16931-R007,fatal,$profile != 'Unknown',Business process MUST be in the format 'urn:fdc:peppol.eu:2017:poacc:billing:NN:1.0' where NN indicates the process number.
//*[not(*) and not(normalize-space())],PEPPOL-EN16931-R008,fatal,false(),Document MUST not contain empty elements.
cac:AccountingCustomerParty/cac:Party,PEPPOL-EN16931-R010,fatal,cbc:EndpointID,Buyer electronic address MUST be provided
cac:AccountingSupplierParty/cac:Party,PEPPOL-EN16931-R020,fatal,cbc:EndpointID,Seller electronic address MUST be provided
ubl-invoice:Invoice/cac:AllowanceCharge | ubl-invoice:Invoice/cac:InvoiceLine/cac:AllowanceCharge | ubl-creditnote:CreditNote/cac:AllowanceCharge | ubl-creditnote:CreditNote/cac:CreditNoteLine/cac:AllowanceCharge,PEPPOL-EN16931-R040,fatal," not(cbc:MultiplierFactorNumeric and cbc:BaseAmount) or u:slack(if (cbc:Amount) then cbc:Amount else 0, (xs:decimal(cbc:BaseAmount) * xs:decimal(cbc:MultiplierFactorNumeric)) div 100, 0.02)",Allowance/charge amount must equal base amount * percentage/100 if base amount and percentage exists
ubl-invoice:Invoice/cac:AllowanceCharge[cbc:MultiplierFactorNumeric and not(cbc:BaseAmount)] | ubl-invoice:Invoice/cac:InvoiceLine/cac:AllowanceCharge[cbc:MultiplierFactorNumeric and not(cbc:BaseAmount)] | ubl-creditnote:CreditNote/cac:AllowanceCharge[cbc:MultiplierFactorNumeric and not(cbc:BaseAmount)] | ubl-creditnote:CreditNote/cac:CreditNoteLine/cac:AllowanceCharge[cbc:MultiplierFactorNumeric and not(cbc:BaseAmount)],PEPPOL-EN16931-R041,fatal,false(),Allowance/charge base amount MUST be provided when allowance/charge percentage is provided.
ubl-invoice:Invoice/cac:AllowanceCharge[not(cbc:MultiplierFactorNumeric) and cbc:BaseAmount] | ubl-invoice:Invoice/cac:InvoiceLine/cac:AllowanceCharge[not(cbc:MultiplierFactorNumeric) and cbc:BaseAmount] | ubl-creditnote:CreditNote/cac:AllowanceCharge[not(cbc:MultiplierFactorNumeric) and cbc:BaseAmount] | ubl-creditnote:CreditNote/cac:CreditNoteLine/cac:AllowanceCharge[not(cbc:MultiplierFactorNumeric) and cbc:BaseAmount],PEPPOL-EN16931-R042,fatal,false(),Allowance/charge percentage MUST be provided when allowance/charge base amount is provided.
ubl-invoice:Invoice/cac:AllowanceCharge | ubl-invoice:Invoice/cac:InvoiceLine/cac:AllowanceCharge | ubl-creditnote:CreditNote/cac:AllowanceCharge | ubl-creditnote:CreditNote/cac:CreditNoteLine/cac:AllowanceCharge,PEPPOL-EN16931-R043,fatal,normalize-space(cbc:ChargeIndicator/text()) = 'true' or normalize-space(cbc:ChargeIndicator/text()) = 'false',Allowance/charge ChargeIndicator value MUST equal 'true' or 'false'
cac:Price/cac:AllowanceCharge,PEPPOL-EN16931-R044,fatal,normalize-space(cbc:ChargeIndicator) = 'false',Charge on price level is NOT allowed. Only value 'false' allowed.
cac:Price/cac:AllowanceCharge,PEPPOL-EN16931-R046,fatal,not(cbc:BaseAmount) or xs:decimal(../cbc:PriceAmount) = xs:decimal(cbc:BaseAmount) - xs:decimal(cbc:Amount),Item net price MUST equal (Gross price - Allowance amount) when gross price is provided.
cbc:Amount | cbc:BaseAmount | cbc:PriceAmount | cac:TaxTotal[cac:TaxSubtotal]/cbc:TaxAmount | cbc:TaxableAmount | cbc:LineExtensionAmount | cbc:TaxExclusiveAmount | cbc:TaxInclusiveAmount | cbc:AllowanceTotalAmount | cbc:ChargeTotalAmount | cbc:PrepaidAmount | cbc:PayableRoundingAmount | cbc:PayableAmount,PEPPOL-EN16931-R051,fatal,@currencyID = $documentCurrencyCode,"All currencyID attributes must have the same value as the invoice currency code (BT-5), except for the invoice total VAT amount in accounting currency (BT-111)."
ubl-creditnote:CreditNote | ubl-invoice:Invoice,PEPPOL-EN16931-R053,fatal,count(cac:TaxTotal[cac:TaxSubtotal]) = 1,Only one tax total with tax subtotals MUST be provided.
ubl-creditnote:CreditNote | ubl-invoice:Invoice,PEPPOL-EN16931-R054,fatal,count(cac:TaxTotal[not(cac:TaxSubtotal)]) = (if (cbc:TaxCurrencyCode) then 1 else 0),Only one tax total without tax subtotals MUST be provided when tax currency code is provided.
ubl-creditnote:CreditNote | ubl-invoice:Invoice,PEPPOL-EN16931-R055,fatal,not(cbc:TaxCurrencyCode) or (cac:TaxTotal/cbc:TaxAmount[@currencyID=normalize-space(../../cbc:TaxCurrencyCode)] <= 0 and cac:TaxTotal/cbc:TaxAmount[@currencyID=normalize-space(../../cbc:DocumentCurrencyCode)] <= 0) or (cac:TaxTotal/cbc:TaxAmount[@currencyID=normalize-space(../../cbc:TaxCurrencyCode)] >= 0 and cac:TaxTotal/cbc:TaxAmount[@currencyID=normalize-space(../../cbc:DocumentCurrencyCode)] >= 0) ,Invoice total VAT amount and Invoice total VAT amount in accounting currency MUST have the same operational sign
"         cac:PaymentMeans[some $code in tokenize('49 59', '\s')           satisfies normalize-space(cbc:PaymentMeansCode) = $code]",PEPPOL-EN16931-R061,fatal,cac:PaymentMandate/cbc:ID,Mandate reference MUST be provided for direct debit.
ubl-creditnote:CreditNote | ubl-invoice:Invoice,PEPPOL-EN16931-R080,fatal,(count(cac:AdditionalDocumentReference[cbc:DocumentTypeCode='50']) <= 1),Only one project reference is allowed on document level
cac:InvoiceLine | cac:CreditNoteLine,PEPPOL-EN16931-R100,fatal,(count(cac:DocumentReference) <= 1),Only one invoiced object is allowed pr line
cac:InvoiceLine | cac:CreditNoteLine,PEPPOL-EN16931-R101,fatal,(not(cac:DocumentReference) or (cac:DocumentReference/cbc:DocumentTypeCode='130')),Element Document reference can only be used for Invoice line object
ubl-invoice:Invoice[cac:InvoicePeriod/cbc:StartDate]/cac:InvoiceLine/cac:InvoicePeriod/cbc:StartDate | ubl-creditnote:CreditNote[cac:InvoicePeriod/cbc:StartDate]/cac:CreditNoteLine/cac:InvoicePeriod/cbc:StartDate,PEPPOL-EN16931-R110,fatal,xs:date(text()) >= xs:date(../../../cac:InvoicePeriod/cbc:StartDate),Start date of line period MUST be within invoice period.
ubl-invoice:Invoice[cac:InvoicePeriod/cbc:EndDate]/cac:InvoiceLine/cac:InvoicePeriod/cbc:EndDate | ubl-creditnote:CreditNote[cac:InvoicePeriod/cbc:EndDate]/cac:CreditNoteLine/cac:InvoicePeriod/cbc:EndDate,PEPPOL-EN16931-R111,fatal,xs:date(text()) <= xs:date(../../../cac:InvoicePeriod/cbc:EndDate),End date of line period MUST be within invoice period.
cac:InvoiceLine | cac:CreditNoteLine,PEPPOL-EN16931-R120,fatal,"u:slack($lineExtensionAmount, ($quantity * ($priceAmount div $baseQuantity)) + $chargesTotal - $allowancesTotal, 0.02)",Invoice line net amount MUST equal (Invoiced quantity * (Item net price/item price base quantity) + Sum of invoice line charge amount - sum of invoice line allowance amount
cac:InvoiceLine | cac:CreditNoteLine,PEPPOL-EN16931-R121,fatal,not(cac:Price/cbc:BaseQuantity) or xs:decimal(cac:Price/cbc:BaseQuantity) > 0,Base quantity MUST be a positive number above zero.
cac:Price/cbc:BaseQuantity[@unitCode],PEPPOL-EN16931-R130,fatal,not($hasQuantity) or @unitCode = $quantity/@unitCode,Unit code of price base quantity MUST be same as invoiced quantity.
ubl-creditnote:CreditNote[$DKSupplierCountry = 'DK'] | ubl-invoice:Invoice[$DKSupplierCountry = 'DK'],DK-R-002,fatal,(normalize-space(cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/text()) != ''),Danish suppliers MUST provide legal entity (CVR-number)
ubl-creditnote:CreditNote[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:CreditNoteLine | ubl-invoice:Invoice[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:InvoiceLine,DK-R-003,warning,not((cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listID = 'TST') and not((cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listVersionID = '19.05.01') or (cac:Item/cac:CommodityClassification/cbc:ItemClassificationCode/@listVersionID = '19.0501') ) ),"If ItemClassification is provided from Danish suppliers, UNSPSC version 19.0501 should be used."
cac:AllowanceCharge[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK'],DK-R-004,fatal,not((cbc:AllowanceChargeReasonCode = 'ZZZ') and not((string-length(normalize-space(cbc:AllowanceChargeReason/text())) = 4) and (number(cbc:AllowanceChargeReason) >= 0) and (number(cbc:AllowanceChargeReason) <= 9999)) ),"When specifying non-VAT Taxes, Danish suppliers MUST use the AllowanceChargeReasonCode=""ZZZ"" and the 4-digit Tax category MUST be specified in 'AllowanceChargeReason'"
ubl-invoice:Invoice[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:PaymentMeans,DK-R-005,fatal,"contains(' 1 10 31 42 48 49 50 58 59 93 97 ', concat(' ', cbc:PaymentMeansCode, ' '))","For Danish suppliers the following Payment means codes are allowed: 1, 10, 31, 42, 48, 49, 50, 58, 59, 93 and 97"
ubl-invoice:Invoice[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:PaymentMeans,DK-R-006,fatal,not(((cbc:PaymentMeansCode = '31') or (cbc:PaymentMeansCode = '42')) and not((normalize-space(cac:PayeeFinancialAccount/cbc:ID/text()) != '') and (normalize-space(cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID/text()) != '')) ),For Danish suppliers bank account and registration account is mandatory if payment means is 31 or 42
ubl-invoice:Invoice[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:PaymentMeans,DK-R-007,fatal,not((cbc:PaymentMeansCode = '49') and not((normalize-space(cac:PaymentMandate/cbc:ID/text()) != '') and (normalize-space(cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID/text()) != '')) ),For Danish suppliers PaymentMandate/ID and PayerFinancialAccount/ID are mandatory when payment means is 49
ubl-invoice:Invoice[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:PaymentMeans,DK-R-008,fatal,"not((cbc:PaymentMeansCode = '50') and not(((substring(cbc:PaymentID, 1, 3) = '01#') or (substring(cbc:PaymentID, 1, 3) = '04#') or (substring(cbc:PaymentID, 1, 3) = '15#')) and (string-length(cac:PayeeFinancialAccount/cbc:ID/text()) = 7) ) )","For Danish Suppliers PaymentID is mandatory and MUST start with 01#, 04# or 15# (kortartkode), and PayeeFinancialAccount/ID (Giro kontonummer) is mandatory and must be 7 characters long, when payment means equals 50 (Giro)"
ubl-invoice:Invoice[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:PaymentMeans,DK-R-009,fatal,"not((cbc:PaymentMeansCode = '50') and ((substring(cbc:PaymentID, 1, 3) = '04#') or (substring(cbc:PaymentID, 1, 3) = '15#')) and not(string-length(cbc:PaymentID) = 19) )","For Danish Suppliers if the PaymentID is prefixed with 04# or 15# the 16 digits instruction Id must be added to the PaymentID eg. ""04#1234567890123456"" when Payment means equals 50 (Giro)"
ubl-invoice:Invoice[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:PaymentMeans,DK-R-010,fatal,"not((cbc:PaymentMeansCode = '93') and not(((substring(cbc:PaymentID, 1, 3) = '71#') or (substring(cbc:PaymentID, 1, 3) = '73#') or (substring(cbc:PaymentID, 1, 3) = '75#')) and (string-length(cac:PayeeFinancialAccount/cbc:ID/text()) = 8) ) )","For Danish Suppliers the PaymentID is mandatory and MUST start with 71#, 73# or 75# (kortartkode) and PayeeFinancialAccount/ID (Kreditornummer) is mandatory and must be exactly 8 characters long, when Payment means equals 93 (FIK)"
ubl-invoice:Invoice[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:PaymentMeans,DK-R-011,fatal,"not((cbc:PaymentMeansCode = '93') and ((substring(cbc:PaymentID, 1, 3) = '71#') or (substring(cbc:PaymentID, 1, 3) = '75#')) and not((string-length(cbc:PaymentID) = 18) or (string-length(cbc:PaymentID) = 19)) )","For Danish Suppliers if the PaymentID is prefixed with 71# or 75# the 15-16 digits instruction Id must be added to the PaymentID eg. ""71#1234567890123456"" when payment Method equals 93 (FIK)"
ubl-creditnote:CreditNote[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification | ubl-creditnote:CreditNote[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification | ubl-invoice:Invoice[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification | ubl-invoice:Invoice[$DKSupplierCountry = 'DK' and $DKCustomerCountry = 'DK']/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification,DK-R-013,fatal,not((boolean(cbc:ID)) and (normalize-space(cbc:ID/@schemeID) = '') ),For Danish Suppliers it is mandatory to use schemeID when PartyIdentification/ID is used for AccountingCustomerParty or AccountingSupplierParty
ubl-creditnote:CreditNote[$DKSupplierCountry = 'DK'] | ubl-invoice:Invoice[$DKSupplierCountry = 'DK'],DK-R-014,fatal,not(((boolean(cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID)) and (normalize-space(cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID) != '0184')) ),"For Danish Suppliers it is mandatory to specify schemeID as ""0184"" (DK CVR-number) when PartyLegalEntity/CompanyID is used for AccountingSupplierParty"
ubl-creditnote:CreditNote[$DKSupplierCountry = 'DK'] | ubl-invoice:Invoice[$DKSupplierCountry = 'DK'],DK-R-015,fatal,"not((normalize-space(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[1]/cac:TaxScheme/cbc:ID/text()) = 'VAT') and not ((string-length(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[1]/cbc:CompanyID/text()) = 10) and (substring(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[1]/cbc:CompanyID/text(), 1, 2) = 'DK') and (string-length(translate(substring(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[1]/cbc:CompanyID/text(), 3, 8), '1234567890', '')) = 0)) or (normalize-space(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[2]/cac:TaxScheme/cbc:ID/text()) = 'VAT') and not ((string-length(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[2]/cbc:CompanyID/text()) = 10) and (substring(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[2]/cbc:CompanyID/text(), 1, 2) = 'DK') and (string-length(translate(substring(cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme[2]/cbc:CompanyID/text(), 3, 8), '1234567890', '')) = 0)) )","For Danish Suppliers, if specified, AccountingSupplierParty/PartyTaxScheme/CompanyID (DK VAT number) must start with DK followed by 8 digits"
