Identifier,Flag,Message,Message_ja
jp-br-01,fatal,"For the Japanese Suppliers, the Tax identifier must start with 'T' and must be 13 digits.",日本のサプライヤに関して、税IDは、'T'から始まり、13桁でなければならない。
jp-br-02,fatal,Amount shall be integer.,金額は整数でなければならない。
jp-br-co-01,fatal,"Consumption Tax category tax amount (ibt-117) = Consumption Tax category taxable amount (ibt-116) x (Consumption Tax category rate (ibt-119) / 100), rounded to integer. The rounded result amount SHALL be between the floor and the ceiling.","課税分類毎の消費税額(ibt-117) = 課税分類毎の課税基準額(ibt-116) x 課税分類毎の税率(ibt-119) / 100), 整数に丸める。丸めた結果の金額は、下限と上限の間になければならない。"
jp-cl-01,fatal,The document type code MUST be coded by the Japanese invoice and Japanese credit note related code lists of UNTDID 1001.,文書タイプコードは、UNTDID 1001のコードリストから、日本の請求書、日本の返還請求書に関連するコードを選ばなければならない。
jp-cl-02,fatal,Payment means in a Japanese invoice MUST be coded using a restricted version of the UNCL4461 code list (adding Z01 and Z02),日本の請求書に記載される支払手段は、Z01及びZ02が追加されたUNCL4461 code list から選ばなければならない。
jp-cl-03,fatal,Japanese invoice tax categories MUST be coded using UNCL5305 code list,日本の請求書の課税分類は、UNCL5305コードリストにコード化されていなければならない。
jp-cl-04,fatal,Tax exemption reason code identifier scheme identifier MUST belong to the ????,非課税理由コードIDのスキーマID は、???に属さなければならない。
jp-s-01,fatal,"An Invoice that contains an Invoice line (ibg-25), a Document level allowance (ibg-20) or a Document level charge (ibg-21) where the Consumption Tax category code (ibt-151, ibt-95 or ibt-102) is ""Standard rated"" shall contain in the Consumption Tax breakdown (ibg-23) at least one Consumption Tax category code (ibt-118) equal with ""Standard rated"".","課税分類コード(ibt-151, ibt-95 又は ibt-102) が、""標準税率"" である請求書明細行(ibg-25)、ドキュメントレベルの返還請求(ibg-20)、 又はドキュメントレベルの追加請求(ibg-21)を含む請求書は、税内訳情報(ibg-23) に、""標準税率"" と同じ課税分類コード(ibt-118) を少なくともひとつ含んでいなければならない。"
jp-s-02,fatal,"An Invoice that contains an Invoice line (ibg-25) where the Invoiced item Consumption Tax category code (ibt-151) is ""Standard rated"" shall contain the Seller Consumption Tax Identifier (ibt-31), the Seller tax registration identifier (ibt-32) and/or the Seller tax representative Consumption Tax identifier (ibt-63).","請求される品目に対する課税分類コード(ibt-151)が""標準税率""である請求書明細行(iibg-25)を含む請求書は、税内訳情報(ibg-23)に、""標準税率"" と同じ課税分類コード(ibt-118)を少なくともひとつ含んでいなければならない。"
jp-s-03,fatal,"An Invoice that contains a Document level allowance (ibg-20) where the Document level allowance Consumption Tax category code (ibt-95) is ""Standard rated"" shall contain the Seller Consumption Tax Identifier (ibt-31), the Seller tax registration identifier (ibt-32) and/or the Seller tax representative Consumption Tax identifier (ibt-63).","ドキュメントレベルの返還請求の課税分類コード(ibt-95)が""標準税率""であるドキュメントレベルの返還請求(ibg-20)を含む請求書は、売り手税ID(ibt-31)、売り手税登録ID(ibt-32)、売り手納税管理人税ID(ibt-63)を含んでいなければならない。"
jp-s-04,fatal,"An Invoice that contains a Document level charge (ibg-21) where the Document level charge Consumption Tax category code (ibt-102) is ""Standard rated"" shall contain the Seller Consumption Tax Identifier (ibt-31), the Seller tax registration identifier (ibt-32) and/or the Seller tax representative Consumption Tax identifier (ibt-63).","ドキュメントレベルの追加請求の課税分類コード(ibt-102)が""標準税率""であるドキュメントレベルの追加請求(ibg-21)を含む請求書は、売り手税ID(ibt-31)、売り手税登録ID(ibt-32)、売り手納税管理人税ID(ibt-63)を含んでいなければならない。"
jp-s-05,fatal,"In an Invoice line (ibg-25) where the Invoiced item Consumption Tax category code (ibt-151) is ""Standard rated"" the Invoiced item Consumption Tax rate (ibt-152) shall be greater than zero.","請求される品目に対する課税分類コード(ibt-151)が""標準税率""である請求書明細行(ibg-25)には、ゼロより大きい請求される品目に対する税率(ibt-152)がなければならない。"
jp-s-06,fatal,"In a Document level allowance (ibg-20) where the Document level allowance Consumption Tax category code (ibt-95) is ""Standard rated"" the Document level allowance Consumption Tax rate (ibt-96) shall be greater than zero.","ドキュメントレベルの返還請求の課税分類コード(ibt-95)が""標準税率""であるドキュメントレベルの返還請求(ibg-20)には、ゼロより大きいドキュメントレベルの返還請求の税率(ibt-96)がなければならない。"
jp-s-07,fatal,"In a Document level charge (ibg-21) where the Document level charge Consumption Tax category code (ibt-102) is ""Standard rated"" the Document level charge Consumption Tax rate (ibt-103) shall be greater than zero. ","ドキュメントレベルの追加の課税分類コード(ibt-102)が""標準税率""であるドキュメントレベルの追加請求(ibg-21)には、ゼロより大きいドキュメントレベルの追加請求の税率(ibt-103)がなければならない。"
jp-s-08,fatal,"For each different value of Consumption Tax category rate (ibt-119) where the Consumption Tax category code (ibt-118) is ""Standard rated"", the Consumption Tax category taxable amount (ibt-116) in a Consumption Tax breakdown (ibg-23) shall equal the sum of Invoice line net amounts (ibt-131) plus the sum of document level charge amounts (ibt-99) minus the sum of document level allowance amounts (ibt-92) where the Consumption Tax category code (ibt-151, ibt-102, ibt-95) is ""Standard rated"" and the Consumption Tax rate (ibt-152, ibt-103, ibt-96) equals the Consumption Tax category rate (ibt-119).","課税分類コード(ibt-118)が""標準税率""で課税分類毎の税率(ibt-119)が異なる値の場合、税内訳情報(ibg-23)での課税分類毎の課税基準額(ibt-116)は、請求される品目に対する課税分類コード、ドキュメントレベルの追加請求の課税分類コード、ドキュメントレベルの返還請求の課税分類コード(ibt-151,ibt-102,ibt-95)が""標準税率""で、請求される品目に対する税率、ドキュメントレベルの追加請求の税率、ドキュメントレベルの返還請求の税率(ibt-152,ibt-103,ibt-96)が課税分類毎の税率(ibt-119)と同じである、値引/割引後請求書明細行金額(ibt-131)+ドキュメントレベルの追加請求金額(ibt-99)-ドキュメントレベルの返還請求金額(ibt92)と同額でなければならない。"
jp-s-09,fatal,"The Consumption Tax category tax amount (ibt-117) in a Consumption Tax breakdown (ibg-23) where Consumption Tax category code (ibt-118) is ""Standard rated"" shall equal the Consumption Tax category taxable amount (ibt-116) multiplied by the Consumption Tax category rate (ibt-119).","税内訳情報(ibg-23)で、課税分類コード(ibt-118)が""標準税率""である課税分類毎の消費税額(ibt-117)は、課税分類毎の課税基準額(ibt-116) x 課税分類毎の税率(ibt-119)と同額でなければならない。"
jp-s-10,fatal,"A Consumption Tax breakdown (ibg-23) with Consumption Tax Category code (ibt-118) ""Standard rate"" shall not have a Consumption Tax exemption reason code (ibt-121) or Consumption Tax exemption reason text (ibt-120).","税内訳情報(ibg-23)に課税分類コード(ibt-118)""標準税率""がある場合、税内訳情報(ibg-23)には、非課税理由コード(ibt-121)又は非課税理由テキスト(ibt-120)があってはならない。"