CII_Path,CII_Card,EN_ID,EN_Level,EN_Card,EN_BT,EN_Desc,EN_DT
/rsm:CrossIndustryInvoice,,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext,1..1,BG-2,1,1..1,PROCESS CONTROL,A group of business terms providing information on the business process and rules applicable to the,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter/ram:ID,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter/ram:ID,0..1,BT-24,2,1..1,Specificati on identifier,"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms.",I
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:ID,1..1,BT-1,1,1..1,Invoice number,A unique identification of the Invoice.,I
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:TypeCode,0..1,BT-3,1,1..1,Invoice type code,A code specifying the functional type of the Invoice.,C
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString,1..1,BT-2,1,1..1,Invoice issue date,The date when the Invoice was issued.,D
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString/@format,,BT-2,1,1..1,Invoice issue date,The date when the Invoice was issued.,D
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote,0..n,BG-1,1,0..n,INVOICE NOTE,"A group of business terms providing textual notes that are relevant for the invoice, together with an indication of the note  subject.",
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:Content,0..n,BT-22,2,1..1,Invoice note,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,T
/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:SubjectCode,0..1,BT-21,2,0..1,Invoice note subject code,The subject of the following textual note.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineltem,0..n,BG-25,1,l..n,INVOICE LINE,A group of business terms providing information on individual Invoice lines.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:LineID,0..1,BT-126,2,1..1,Invoice line identifier,A unique identifier for the individual line within the Invoice.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:IncludedNote,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:IncludedNote/ram:Content,0..n,BT-127,2,0..1,Invoice line note,A textual note that gives unstructured information that is relevant to the Invoice line.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct,0..1,BG-31,2,1..1,ITEM INFORMATION,A group of business terms providing information about the goods and services invoiced.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:GlobalID,0..1,BT-157,3,0..1,Item standard identifier,An item identifier based on a registered scheme.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:GlobalID/@schemeID,,BT-157-1,4,1..1,Item standard identifier identificat ion scheme  identifier,The identification scheme identifier of the Item standard identifier   ,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:SellerAssignedID,0..1,BT-155,3,0..1,Item Seller's identifier,"An identifier, assigned by the Seller, for the item.",I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:BuyerAssignedID,0..1,BT-156,3,0..1,Item Buyer's identifier,"An identifier, assigned by the Buyer, for the item.",I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:Name,0..n,BT-153,3,1..1,Item name,A name for an item.,T
/rsm:CrossIndustiyInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:Description,0..1,BT-154,3,0..1,Item descriptio n,A description for an item.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:ApplicableProductCharacteristic,0..n,BG-32,3,0..n,ITEM ATTRIBUTES,A group of business terms providing information about properties of the goods and services invoiced.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:ApplicableProductCharacteristic/ram:Description,0..n,BT-160,4,1..1,Item attribute name,The name of the attribute or property of the item.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:Applicab]eProductCharacteristic/ram:Value,0..n,BT-161,4,1..1,Item attribute value,The value of the attribute or property of the item.,T
/rsm:CrossIndustryInvoice/rsm:SuppIyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification/ram:ClassCode,0..1,BT-158,3,0..n,Item classificati on identifier,A code for classifying the item by its type or nature.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification/ram:ClassCode/@listID,,BT-158-1,4,1..1,Item classificati on identifier identificat ion  scheme identifier,The identification scheme identifier of the Item classification identifier,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:DesignatedProductClassification/ram:ClassCode/@listVersionID,,BT-158-2,,0..1,Scheme version identifer,The version of identification scheme.,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedTradeProduct/ram:OriginTradeCountry,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SperifiedTradeProduct/ram:OriginTradeCountry/ram:ID,0..1,BT-159,3,0..1,Item country of origin,The code identifying the country from which the item originates.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement,0..1,BG-29,2,1..1,PRICE DETAILS,A group of business terms providing information about the price applied for the goods and services invoiced on the Invoice line.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:BuyerOrderReferencedDocument,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:BuyerOrderReferencedDocument/ram:LineID,0..1,BT-132,2,0..1,Reference d purchase order line reference,"An identifier for a referenced line within a purchase order, issued by the Buyer.",0
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:ChargeAmount,l..n,BT-148,3,0..1,Item gross price,"The unit price, exclusive of VAT, before subtracting Item price discount.",U
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:BasisQuantity,0..1,BT-149,3,0..1,Item price base quantity,The number of item units to which the price applies.,Q
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:BasisQuantity/@unitCode,,BT-150,3,0..1,Item price base quantity unit of measure code,The unit of measure that applies to the Item price base quantity.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge/ram:ChargeIndicator,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge/ram:ChargeIndicator/udt:Indicator,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:GrossPriceProductTradePrice/ram:AppliedTradeAllowanceCharge/ram:ActualAmount,0..n,BT-147,3,0..1,Item price discount,The total discount subtracted from the Item gross price to calculate the Item net price.,U
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:NetPriceProductTradePrice,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:NetPriceProductTradePrice/ram:ChargeAmount,l..n,BT-146,3,1..1,Item net price,"The price of an item, exclusive of VAT, after subtracting item price discount.",U
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:NetPriceProductTradePrice/ram:BasisQuantity,0..1,BT-149,3,0..1,Item price base quantity,The number of item units to which the price applies.,Q
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeAgreement/ram:NetPriceProductTradePrice/ram:BasisQuantity/@unitCode,,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeDelivery,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeDelivery/ram:BilledQuantity,0..1,BT-129,2,1..1,Invoiced quantity,The quantity of items (goods or services) that is charged in the Invoice line.,Q
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeDelivery/ram:BilledQuantity/@unitCode,,BT-130,2,1..1,Invoiced quantity unit of measure,The unit of measure that applies to the invoiced quantity.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:InvoiceIssuerReferenee,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ApplicableTradeTax,0..n,BG-30,2,1..1,LINE VAT INFORMATION,A group of business terms providing information about the VAT applicable for the goods and services invoiced on the Invoice line.   ,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ApplicableTradeTax/ram:TypeCode,0..1,BT-151,3,1..1,Invoiced item VAT category code,The VAT category code for the invoiced item.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ApplicableTradeTax/ram:CategoryCode,0..1,BT-151,3,1..1,Invoiced item VAT category code,The VAT category code for the invoiced item.,C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ApplicableTradeTax/ram:RateApplicablePercent,0..1,BT-152,3,0..1,Invoiced item VAT rate,"The VAT rate, represented as percentage that applies to the invoiced item.",P
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod,0..1,BG-26,2,0..1,INVOICE LINE PERIOD,A group of business terms providing information about the period relevant for the Invoice line.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime/udt:DateTimeString,1..1,BT-134,3,0..1,Invoice line period start date,The date when the Invoice period for this Invoice line starts.,D
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime/udt:DateTimeString/@format,,BT-134,3,0..1,Invoice line period start date,The date when the Invoice period for this Invoice line starts.,D
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:EndDateTime,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:EndDateTime/udt:DateTimeString,1..1,BT-135,3,0..1,Invoice line period end date,The date when the Invoice period for this Invoice line ends.,D
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:BillingSpecifiedPeriod/ram:EndDateTime/udt:DateTimeString/@format,,BT-135,3,0..1,Invoice line period end date,The date when the Invoice period for this Invoice line ends.,D
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAHowanceCharge,0..n,BG-27,2,0..n,INVOICE LINE ALLOWA NCES,A group of business terms providing information about allowances applicable to the individual Invoice line.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge,0..n,BG-28,2,0..n,INVOICE LINE CHARGES,A group of business terms providing information about charges and taxes other than VAT applicable to the individual Invoice line.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:ChargeIndicator,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:ChargeIndicator/udt:Indicator,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:CalculationPercent,0..1,BT-138,3,0..1,Invoice line allowance percentag e,"The percentage that may be used, in conjunction with the Invoice line allowance base amount, to calculate the Invoice line  allowance amount   ",P
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:CalculationPercent,0..1,BT-143,3,0..1,Invoice line charge percentag e,"The percentage that may be used, in conjunction with the Invoice line charge base amount, to calculate the Invoice line charge  amount.",P
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:BasisAmount,0..1,BT-137,3,0..1,Invoice line allowance base amount,"The base amount that may be used, in conjunction with the Invoice line allowance percentage, to calculate the Invoice line  allowance amount.",A
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:BasisAmount,0..1,BT-142,3,0..1,Invoice line charge base amount,"The base amount that may be used, in conjunction with the Invoice line charge percentage, to calculate the Invoice line charge  amount.",A
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:ActualAmount,0..n,BT-136,3,1..1,Invoice line allowance amount,"The amount of an allowance, without VAT.",A
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:ActualAmount,0..n,BT-141,3,1..1,Invoice line charge amount,"The amount of a charge, without VAT.",A
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:ReasonCode,0..1,BT-140,3,0..1,Invoice line allowance reason code,"The reason for the Invoice line allowance, expressed as a code.",C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:ReasonCode,0..1,BT-145,3,0..1,Invoice line charge reason code,"The reason for the Invoice line charge, expressed as a code.",C
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:Reason,0..1,BT-139,3,0..1,Invoice line allowance reason,"The reason for the Invoice line allowance, expressed as text.",T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeAllowanceCharge/ram:Reason,0..1,BT-144,3,0..1,Invoice line charge reason,"The reason for the Invoice line charge, expressed as text.",T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeSettlementLineMonetarySummation,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:SpecifiedTradeSettlementLineMonetarySummation/ram:LineTotalAmount,0..n,BT-131,2,1..1,Invoice line net amount,The total amount of the Invoice line.,A
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:AdditionalReferencedDocument,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:AdditionalReferencedDocument/ram:IssuerAssignedID,0..1,BT-128,2,0..1,Invoice line object identifier,"An identifier for an object on which the invoice line is based, given by the Seller.",I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:lncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:AdditionalReferencedDocument/ram:TypeCode,0..1,BT-128,2,0..1,Invoice line object identifier,"An identifier for an object on which the invoice line is based, given by the Seller.   ",I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:AdditionalReferencedDocument/ram:ReferenceTypeCode,0..1,BT-128-1,3,0..1,Invoice line object identifier identificat ion  scheme identifier,The identification scheme identifier of the Invoice line object identifier.,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ReceivabIeSpecifiedTradeAccountingAccount,0..n,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:SpecifiedLineTradeSettlement/ram:ReceivableSpecifiedTradeAccountingAccount/ram:ID,1..1,BT-133,2,0..1,Invoice line Buyer accounting reference,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement,1..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerReference,0..1,BT-10,1,0..1,Buyer reference,An identifier assigned by the Buyer used for internal routing purposes.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty,0..1,BG-4,1,1..1,SELLER,A group of business terms providing information about the Seller.,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:ID,0..n,BT-29,2,0..n,Seller identifier,An identification of the Seller.,I
/rsm:CrossIndustiyInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:GlobalID,0..n,BT-29,2,0..n,Seller identifier,An identification of the Seller.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:GlobalID/@schemeID,,BT-291,3,0..1,Seller identifier identificat ion scheme identifier,The identification scheme identifier of the Seller identifier.,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Name,0..1,BT-27,2,1..1,Seller name,The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise  trades as a person or persons.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:Description,0..n,BT-33,2,0..1,Seller additional legal information,Additional information relevant for Seller.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization,0..1,,,,,,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID,0..1,BT-30,2,0..1,Seller legal registration identifier,An identifier issued by an official registrar that identifies the Seller as a legal entity or person.,I
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:ID/@schemeID,,BT-301,3,0..1,Seller legal registration identifier identificat ion  scheme identifier,The identification scheme identifier of the Seller legal registration identifier.,S
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName,0..1,BT-28,2,0..1,Seller trading name,"A name by which the Seller is known, other than Seller name (also known as Business name).",T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact,0..n,BG-6,2,0..1,SELLER CONTACT,A group of business terms providing contact information about the Sellers,
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:PersonName,0..1,BT-41,3,0..1,Seller contact point,A contact point for a legal entity or person.,T
/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:DepartmentName,0..1,BT-41,3,0..1,Seller contact point,A contact point for a legal entity or person.,T
